Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 1 (116th Congress), Alabama!!Total!!Estimate","546,223",,"103,499","128,837","183,430","130,457",,"256,090","290,133",,"378,866","145,115","6,015",N,N,N,N,"10,420","372,380",,"12,490","51,840","188,375","120,730","46,909","82,311","43,568","481,893","125,879",,"535,200","69,892","465,308",,"51,076"
"Congressional District 1 (116th Congress), Alabama!!Total!!Margin of Error","±2,958",,"±2,095","±3,180","±2,885","±2,353",,"±2,099","±2,530",,"±3,130","±2,980","±1,239",N,N,N,N,"±1,529","±2,170",,"±2,265","±5,502","±7,772","±5,869","±4,394","±5,171","±4,852","±7,088","±7,136",,"±3,811","±5,925","±6,726",,"±1,500"
"Congressional District 1 (116th Congress), Alabama!!Percent!!Estimate",(X),,18.90%,23.60%,33.60%,23.90%,,46.90%,53.10%,,69.40%,26.60%,1.10%,N,N,N,N,1.90%,68.20%,,2.30%,9.50%,34.50%,22.10%,8.60%,15.10%,8.00%,88.20%,23.00%,,(X),13.10%,86.90%,,(X)
"Congressional District 1 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.4,±0.6,±0.5,±0.4,,±0.3,±0.3,,±0.5,±0.5,±0.2,N,N,N,N,±0.3,±0.4,,±0.4,±1.0,±1.4,±1.0,±0.8,±0.9,±0.9,±1.1,±1.3,,(X),±1.1,±1.1,,(X)
"Congressional District 2 (116th Congress), Alabama!!Total!!Estimate","513,747",,"106,207","121,741","166,199","119,600",,"242,695","271,052",,"334,078",N,"4,129",N,N,"4,901",N,"11,157","326,863",,"17,700","49,827","166,639","124,695","46,293","69,073","39,520","446,220","108,593",,"495,356","68,521","426,835",,"50,764"
"Congressional District 2 (116th Congress), Alabama!!Total!!Margin of Error","±4,847",,"±2,968","±3,897","±3,510","±2,114",,"±3,161","±3,116",,"±3,109",N,±846,N,N,"±1,815",N,"±1,320","±2,828",,"±1,867","±3,796","±6,534","±4,650","±2,889","±4,193","±2,681","±6,749","±4,842",,"±5,439","±5,115","±7,143",,±997
"Congressional District 2 (116th Congress), Alabama!!Percent!!Estimate",(X),,20.70%,23.70%,32.40%,23.30%,,47.20%,52.80%,,65.00%,N,0.80%,N,N,1.00%,N,2.20%,63.60%,,3.40%,9.70%,32.40%,24.30%,9.00%,13.40%,7.70%,86.90%,21.10%,,(X),13.80%,86.20%,,(X)
"Congressional District 2 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.5,±0.7,±0.7,±0.5,,±0.4,±0.4,,±0.9,N,±0.2,N,N,±0.4,N,±0.3,±0.8,,±0.4,±0.8,±1.2,±0.9,±0.6,±0.8,±0.5,±0.9,±0.9,,(X),±1.0,±1.0,,(X)
"Congressional District 3 (116th Congress), Alabama!!Total!!Estimate","550,776",,"119,395","129,092","182,968","119,321",,"262,424","288,352",,"391,932",N,"4,440",N,N,"2,334",N,"9,075","385,715",,"21,167","54,476","171,764","134,640","51,282","69,463","47,984","475,133","117,447",,"532,172","74,898","457,274",,"52,372"
"Congressional District 3 (116th Congress), Alabama!!Total!!Margin of Error","±4,398",,"±3,359","±3,615","±2,980","±1,682",,"±2,757","±2,637",,"±3,008",N,"±1,427",N,N,"±1,098",N,"±1,407","±2,702",,"±3,120","±4,739","±7,283","±6,922","±4,235","±4,847","±3,953","±7,324","±6,242",,"±5,097","±6,955","±9,037",,"±2,134"
"Congressional District 3 (116th Congress), Alabama!!Percent!!Estimate",(X),,21.70%,23.40%,33.20%,21.70%,,47.60%,52.40%,,71.20%,N,0.80%,N,N,0.40%,N,1.60%,70.00%,,3.80%,9.90%,31.20%,24.40%,9.30%,12.60%,8.70%,86.30%,21.30%,,(X),14.10%,85.90%,,(X)
"Congressional District 3 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.5,±0.3,,±0.3,±0.3,,±0.6,N,±0.3,N,N,±0.2,N,±0.3,±0.6,,±0.6,±0.9,±1.3,±1.2,±0.8,±0.9,±0.7,±1.1,±1.1,,(X),±1.3,±1.3,,(X)
"Congressional District 4 (116th Congress), Alabama!!Total!!Estimate","516,456",,"92,231","117,680","178,627","127,918",,"251,669","264,787",,"460,821",N,"1,447",N,N,"5,420",N,"13,479","452,892",,"20,572","61,145","179,541","123,124","46,557","56,555","28,962","434,739","85,517",,"509,887","67,198","442,689",,"48,231"
"Congressional District 4 (116th Congress), Alabama!!Total!!Margin of Error","±5,170",,"±3,340","±2,800","±3,294","±2,276",,"±3,323","±2,949",,"±5,045",N,±643,N,N,"±1,822",N,"±2,408","±4,741",,"±2,204","±5,595","±6,201","±5,417","±3,790","±4,638","±2,519","±7,598","±5,360",,"±5,333","±5,816","±7,111",,"±1,729"
"Congressional District 4 (116th Congress), Alabama!!Percent!!Estimate",(X),,17.90%,22.80%,34.60%,24.80%,,48.70%,51.30%,,89.20%,N,0.30%,N,N,1.00%,N,2.60%,87.70%,,4.00%,11.80%,34.80%,23.80%,9.00%,11.00%,5.60%,84.20%,16.60%,,(X),13.20%,86.80%,,(X)
"Congressional District 4 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.6,±0.5,±0.5,±0.5,,±0.3,±0.3,,±0.4,N,±0.1,N,N,±0.4,N,±0.5,±0.5,,±0.4,±1.1,±1.2,±1.0,±0.7,±0.9,±0.5,±1.1,±1.0,,(X),±1.1,±1.1,,(X)
"Congressional District 5 (116th Congress), Alabama!!Total!!Estimate","563,216",,"112,593","130,542","195,293","124,788",,"270,465","292,751",,"435,104","103,067","7,693",N,N,"4,114",N,"15,488","424,346",,"14,988","41,465","159,564","127,295","47,394","109,985","62,525","506,763","172,510",,"547,040","62,203","484,837",,"60,139"
"Congressional District 5 (116th Congress), Alabama!!Total!!Margin of Error","±2,892",,"±2,056","±2,172","±2,120","±1,893",,"±1,655","±1,987",,"±2,401","±1,494","±1,224",N,N,"±1,064",N,"±2,171","±1,380",,"±2,372","±3,670","±6,125","±6,201","±3,839","±6,229","±4,194","±4,807","±7,174",,"±3,763","±5,439","±6,271",,"±2,049"
"Congressional District 5 (116th Congress), Alabama!!Percent!!Estimate",(X),,20.00%,23.20%,34.70%,22.20%,,48.00%,52.00%,,77.30%,18.30%,1.40%,N,N,0.70%,N,2.70%,75.30%,,2.70%,7.40%,28.30%,22.60%,8.40%,19.50%,11.10%,90.00%,30.60%,,(X),11.40%,88.60%,,(X)
"Congressional District 5 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.3,,±0.2,±0.2,,±0.3,±0.3,±0.2,N,N,±0.2,N,±0.4,±0.4,,±0.4,±0.7,±1.1,±1.1,±0.7,±1.1,±0.7,±0.8,±1.2,,(X),±1.0,±1.0,,(X)
"Congressional District 6 (116th Congress), Alabama!!Total!!Estimate","527,401",,"97,092","135,940","179,080","115,289",,"250,944","276,457",,"424,691","85,268","6,229",N,N,"2,786",N,"12,977","416,340",,"12,001","33,881","128,972","121,300","39,501","120,653","71,093","481,519","191,746",,"518,703","45,083","473,620",,"70,539"
"Congressional District 6 (116th Congress), Alabama!!Total!!Margin of Error","±7,356",,"±4,194","±4,141","±4,071","±3,247",,"±4,438","±4,938",,"±5,618","±4,622","±1,112",N,N,±939,N,"±2,054","±5,200",,"±1,941","±3,188","±5,803","±6,885","±3,460","±6,412","±5,227","±8,103","±8,704",,"±7,228","±4,370","±7,558",,"±2,863"
"Congressional District 6 (116th Congress), Alabama!!Percent!!Estimate",(X),,18.40%,25.80%,34.00%,21.90%,,47.60%,52.40%,,80.50%,16.20%,1.20%,N,N,0.50%,N,2.50%,78.90%,,2.30%,6.40%,24.50%,23.00%,7.50%,22.90%,13.50%,91.30%,36.40%,,(X),8.70%,91.30%,,(X)
