Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
0101_!!Total!!Estimate,546223,,103499,128837,183430,130457,,256090,290133,,378866,145115,6015,N,N,N,N,10420,372380,,12490,51840,188375,120730,46909,82311,43568,481893,125879,,535200,69892,465308,,51076
0101_!!Total!!Margin of Error,±2958,,±2095,±3180,±2885,±2353,,±2099,±2530,,±3130,±2980,±1239,N,N,N,N,±1529,±2170,,±2265,±5502,±7772,±5869,±4394,±5171,±4852,±7088,±7136,,±3811,±5925,±6726,,±1500
0101_!!Percent!!Estimate,(X),,18.90%,23.60%,33.60%,23.90%,,46.90%,53.10%,,69.40%,26.60%,1.10%,N,N,N,N,1.90%,68.20%,,2.30%,9.50%,34.50%,22.10%,8.60%,15.10%,8.00%,88.20%,23.00%,,(X),13.10%,86.90%,,(X)
0101_!!Percent!!Margin of Error,(X),,±0.4,±0.6,±0.5,±0.4,,±0.3,±0.3,,±0.5,±0.5,±0.2,N,N,N,N,±0.3,±0.4,,±0.4,±1.0,±1.4,±1.0,±0.8,±0.9,±0.9,±1.1,±1.3,,(X),±1.1,±1.1,,(X)
0102_!!Total!!Estimate,513747,,106207,121741,166199,119600,,242695,271052,,334078,N,4129,N,N,4901,N,11157,326863,,17700,49827,166639,124695,46293,69073,39520,446220,108593,,495356,68521,426835,,50764
0102_!!Total!!Margin of Error,±4847,,±2968,±3897,±3510,±2114,,±3161,±3116,,±3109,N,±846,N,N,±1815,N,±1320,±2828,,±1867,±3796,±6534,±4650,±2889,±4193,±2681,±6749,±4842,,±5439,±5115,±7143,,±997
0102_!!Percent!!Estimate,(X),,20.70%,23.70%,32.40%,23.30%,,47.20%,52.80%,,65.00%,N,0.80%,N,N,1.00%,N,2.20%,63.60%,,3.40%,9.70%,32.40%,24.30%,9.00%,13.40%,7.70%,86.90%,21.10%,,(X),13.80%,86.20%,,(X)
0102_!!Percent!!Margin of Error,(X),,±0.5,±0.7,±0.7,±0.5,,±0.4,±0.4,,±0.9,N,±0.2,N,N,±0.4,N,±0.3,±0.8,,±0.4,±0.8,±1.2,±0.9,±0.6,±0.8,±0.5,±0.9,±0.9,,(X),±1.0,±1.0,,(X)
0103_!!Total!!Estimate,550776,,119395,129092,182968,119321,,262424,288352,,391932,N,4440,N,N,2334,N,9075,385715,,21167,54476,171764,134640,51282,69463,47984,475133,117447,,532172,74898,457274,,52372
0103_!!Total!!Margin of Error,±4398,,±3359,±3615,±2980,±1682,,±2757,±2637,,±3008,N,±1427,N,N,±1098,N,±1407,±2702,,±3120,±4739,±7283,±6922,±4235,±4847,±3953,±7324,±6242,,±5097,±6955,±9037,,±2134
0103_!!Percent!!Estimate,(X),,21.70%,23.40%,33.20%,21.70%,,47.60%,52.40%,,71.20%,N,0.80%,N,N,0.40%,N,1.60%,70.00%,,3.80%,9.90%,31.20%,24.40%,9.30%,12.60%,8.70%,86.30%,21.30%,,(X),14.10%,85.90%,,(X)
0103_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.5,±0.3,,±0.3,±0.3,,±0.6,N,±0.3,N,N,±0.2,N,±0.3,±0.6,,±0.6,±0.9,±1.3,±1.2,±0.8,±0.9,±0.7,±1.1,±1.1,,(X),±1.3,±1.3,,(X)
0104_!!Total!!Estimate,516456,,92231,117680,178627,127918,,251669,264787,,460821,N,1447,N,N,5420,N,13479,452892,,20572,61145,179541,123124,46557,56555,28962,434739,85517,,509887,67198,442689,,48231
0104_!!Total!!Margin of Error,±5170,,±3340,±2800,±3294,±2276,,±3323,±2949,,±5045,N,±643,N,N,±1822,N,±2408,±4741,,±2204,±5595,±6201,±5417,±3790,±4638,±2519,±7598,±5360,,±5333,±5816,±7111,,±1729
0104_!!Percent!!Estimate,(X),,17.90%,22.80%,34.60%,24.80%,,48.70%,51.30%,,89.20%,N,0.30%,N,N,1.00%,N,2.60%,87.70%,,4.00%,11.80%,34.80%,23.80%,9.00%,11.00%,5.60%,84.20%,16.60%,,(X),13.20%,86.80%,,(X)
0104_!!Percent!!Margin of Error,(X),,±0.6,±0.5,±0.5,±0.5,,±0.3,±0.3,,±0.4,N,±0.1,N,N,±0.4,N,±0.5,±0.5,,±0.4,±1.1,±1.2,±1.0,±0.7,±0.9,±0.5,±1.1,±1.0,,(X),±1.1,±1.1,,(X)
